name,lat,lon
Pérez,-32.9984,-60.7679
Paraná,-31.7327,-60.529
Palpalá,-24.258,-65.2136
Olavarría,-36.8927,-60.3225
Nueve de Julio,-35.4444,-60.8831
Neuquén,-38.9516,-68.0591
Morteros,-30.7116,-61.9986
Monteros,-27.1674,-65.4983
Mendoza,-32.8908,-68.8272
Marcos Juárez,-32.6978,-62.1067
Machagai,-26.9261,-60.0496
Lincoln,-34.8665,-61.5302
Libertador General San Martín,-23.813,-64.7935
Las Breñas,-27.0897,-61.0816
La Rioja,-29.411,-66.8507
La Falda,-31.0884,-64.4899
La Calera,-31.3438,-64.3353
Laboulaye,-34.1266,-63.3912
Junín,-34.5838,-60.9433
Joaquín V. González,-25.1136,-64.1263
Jesús María,-30.9815,-64.0942
Granadero Baigorria,-32.8568,-60.7175
Gobernador Gálvez,-33.0302,-60.6404
General Villegas,-35.0329,-63.0125
General Roca,-39.0333,-67.5833
General Pinedo,-27.3167,-61.2833
General Pico,-35.6566,-63.7568
General Mosconi,-22.5959,-63.8126
Gálvez,-32.0293,-61.221
Firmat,-33.4594,-61.4832
Famaillá,-27.0541,-65.4033
Esquel,-42.9115,-71.3195
Esperanza,-31.4488,-60.9317
Embarcación,-23.21,-64.0996
Embalse,-32.18,-64.4181
El Bolsón,-41.9605,-71.5334
Diamante,-32.0664,-60.6384
Deán Funes,-30.4204,-64.3498
Cutral-Có,-38.9342,-69.2305
Cruz del Eje,-30.7264,-64.8039
Crespo,-32.0287,-60.3066
Cosquín,-31.2451,-64.4656
Coronel Suárez,-37.4547,-61.9334
Coronda,-31.9726,-60.9198
Córdoba,-31.4135,-64.181
Comodoro Rivadavia,-45.8641,-67.4966
Cipolletti,-38.9339,-67.9903
Cinco Saltos,-38.8222,-68.0629
Chivilcoy,-34.8957,-60.0167
Chimbas,-31.4833,-68.5333
Chilecito,-29.162,-67.4974
Charata,-27.2144,-61.188
Chacabuco,-34.6417,-60.4739
Centenario,-38.8296,-68.1318
Caucete,-31.6518,-68.281
Catriel,-37.8791,-67.7956
Castelli,-25.9468,-60.6195
Casilda,-33.0442,-61.1681
Carcarañá,-32.8568,-61.1533
Capitán Bermúdez,-32.8226,-60.7185
Cañada de Gómez,-32.8164,-61.3949
Caleta Olivia,-46.4393,-67.5281
Bell Ville,-32.6259,-62.6887
Bella Vista,-27.0342,-65.302
Bahía Blanca,-38.7196,-62.2724
Arroyo Seco,-33.1549,-60.5086
Arroyito,-31.4202,-63.05
Añatuya,-28.4606,-62.8347
Alta Gracia,-31.6529,-64.4283
Allen,-38.9774,-67.8271
Alderetes,-26.8167,-65.1333
Albardón,-31.4372,-68.5256
Aguilares,-27.4338,-65.6143
Balvanera,-34.6103,-58.3977
Villa Santa Rita,-34.6108,-58.481
Villa Mercedes,-33.6757,-65.4578
San Miguel,-34.5433,-58.7123
San Carlos de Bariloche,-41.1456,-71.3082
Adrogué,-34.8004,-58.3838
Ingeniero Pablo Nogués,-34.4778,-58.7065
José C. Paz,-34.5154,-58.7681
Santa María,-34.5664,-58.7576
Pago Pago,-14.2781,-170.7025
Wilten,47.2583,11.3881
Wiener Neustadt,47.8048,16.232
Vienna,48.2085,16.3721
Wetzelsdorf,47.0529,15.3992
Wels,48.1667,14.0333
Weinzierl bei Krems,48.4,15.6
Villach,46.6103,13.8558
Telfs,47.3071,11.0682
Straßgang,47.0333,15.4
Stockerau,48.3833,16.2167
Steyr,48.0427,14.4213
Simmering,48.1833,16.4333
Sankt Pölten,48.2,15.6333
Sankt Peter,47.05,15.4667
Sankt Peter,46.6298,14.3402
Sankt Martin,46.6167,14.2833
Salzburg,47.7994,13.044
Saalfelden am Steinernen Meer,47.4268,12.848
Pradl,47.2654,11.4152
Perchtoldsdorf,48.1194,16.2661
Ottakring,48.2167,16.3
Mödling,48.086,16.2892
Meidling,48.1667,16.3333
Lustenau,47.4264,9.6585
Linz,48.3064,14.2861
Klosterneuburg,48.3052,16.3252
Klagenfurt am Wörthersee,46.6247,14.3053
Innsbruck,47.2627,11.3945
Innere Stadt,48.2091,16.3714
Hötting,47.2682,11.3687
Hohenems,47.3612,9.6869
Hietzing,48.1862,16.2965
Hernals,48.2333,16.2667
Graz,47.0667,15.45
Floridsdorf,48.25,16.4
Feldkirch,47.2331,9.6
Eggenberg,47.07,15.3987
Dornbirn,47.4143,9.7419
Bregenz,47.5031,9.7471
Baden,48.0054,16.2326
Amstetten,48.1229,14.8721
Favoriten,48.1612,16.3823
Donaustadt,48.2333,16.46
Jakomini,47.0544,15.4498
Lend,47.0826,15.4159
Geidorf,47.0839,15.444
Sankt Leonhard,47.0692,15.4578
Andritz,47.1139,15.4235
Gries,47.0624,15.4242
Scarborough,-31.8958,115.7643
Rockingham,-32.2768,115.7298
Perth,-31.9522,115.8614
Mount Isa,-20.7252,139.4973
Morphett Vale,-35.1333,138.5167
Mandurah,-32.5269,115.7217
Kwinana,-32.2301,115.7813
Gosnells,-32.081,116.0054
Geraldton,-28.779,114.6146
Gawler,-34.6025,138.749
Darwin,-12.4611,130.8418
Byford,-32.221,116.009
Busselton,-33.6525,115.3455
Bunbury,-33.3271,115.6414
Australind,-33.2792,115.715
Alice Springs,-23.6975,133.8836
Albany,-35.0269,117.8837
Adelaide,-34.9287,138.5986
Yarraville,-37.8167,144.9
Wollert,-37.5833,145.0333
Wodonga,-36.1218,146.8881
Wheelers Hill,-37.9,145.1833
Westmead,-33.8038,150.9877
Werribee,-37.9,144.6667
Warwick,-28.219,152.0344
Warrnambool,-38.3818,142.488
Warragul,-38.1591,145.9312
Wantirna South,-37.8833,145.2167
Wangaratta,-36.3585,146.3206
Wahroonga,-33.7182,151.1156
Upper Coomera,-27.8768,153.2857
Truganina,-37.8167,144.75
Traralgon,-38.1953,146.5415
Townsville,-19.2664,146.8057
Toowoomba,-27.5606,151.9539
Thornbury,-37.7582,145.0058
Thomastown,-37.6833,145.0167
Templestowe,-37.754,145.1486
Tarneit,-37.8363,144.6595
Taree,-31.911,152.4539
Tamworth,-31.0905,150.929
Sydney,-33.8678,151.2073
Surry Hills,-33.8837,151.2128
Surfers Paradise,-28.0027,153.43
Sunbury,-37.5774,144.7261
Strathfield,-33.881,151.0799
Springvale,-37.9485,145.1527
South Yarra,-37.8383,144.9915
Southport,-27.9672,153.398
Shepparton,-36.3805,145.3987
Seven Hills,-33.7833,150.9333
Seaford,-38.1,145.1333
Saint Kilda,-37.8676,144.981
Saint Ives,-33.7298,151.1598
Saint Albans,-37.7333,144.8
Ryde,-33.8188,151.1062
Rowville,-37.9333,145.2333
Rockhampton,-23.3803,150.506
Rockdale,-33.95,151.1333
Ringwood,-37.8167,145.2333
Richmond,-37.8182,145.0018
Reservoir,-37.7167,145.0
Quakers Hill,-33.7333,150.8833
Preston,-37.75,145.0167
Port Melbourne,-37.8396,144.9423
Port Macquarie,-31.4308,152.9089
Point Cook,-37.9148,144.7509
Pascoe Vale,-37.7333,144.9333
Palm Beach,-28.1169,153.4658
Pakenham,-38.0702,145.4741
Orange,-33.284,149.1002
Officer,-38.0592,145.4095
North Melbourne,-37.798,144.9451
Northcote,-37.7667,145.0
Noble Park,-37.9667,145.1667
Newcastle,-32.9295,151.7801
Nerang,-27.9894,153.3363
Narre Warren,-38.0333,145.3
Narangba,-27.2034,152.9592
Mulgrave,-37.9284,145.1771
Mount Waverley,-37.8771,145.1294
Mount Martha,-38.2667,145.0167
Mount Gambier,-37.8318,140.7792
Mount Eliza,-38.1833,145.0833
Mount Druitt,-33.7667,150.8167
Mosman,-33.839,151.2396
Mornington,-38.2179,145.0388
Morayfield,-27.1088,152.9491
South Morang,-37.65,145.1
Mooroolbark,-37.7825,145.3168
Moonee Ponds,-37.7667,144.9167
Mitcham,-37.8167,145.2
Miranda,-34.0386,151.1
Mill Park,-37.6667,145.0667
Mildura,-34.1855,142.1625
Merrylands,-33.8333,150.9833
Mernda,-37.6008,145.0956
Melbourne,-37.814,144.9633
Mascot,-33.926,151.1935
Maryborough,-25.5407,152.7049
Marrickville,-33.9074,151.1555
Maroubra,-33.95,151.2333
Manly,-33.798,151.2883
Maitland,-32.7331,151.5574
Mackay,-21.1534,149.1655
Liverpool,-33.9194,150.9259
Lilydale,-37.75,145.35
Lidcombe,-33.8644,151.0397
Launceston,-41.4388,147.1347
Lara,-38.0239,144.4062
Langwarrin,-38.1667,145.1667
Lalor,-37.6667,145.0167
Lakemba,-33.9197,151.0759
Kogarah,-33.9681,151.1356
Keysborough,-37.9912,145.1738
Kew,-37.8064,145.0309
Kensington,-33.9202,151.2224
